Suspectible,Infected,Recovered
84400000.0,19.2,0.0
84399990.86762127,25.659486646072295,2.672892090223969
84399978.66145413,34.2931156141688,6.245430278976664
84399962.34959856,45.83076678546519,11.01963466387317
84399940.54823972,61.25123497445947,17.40052530658771
84399911.41154811,81.8601049743106,25.928346920818065
84399872.47181046,109.40282902069421,37.32536051454803
84399820.3996589,146.23431938871715,52.566021695198884
84399750.81860285,195.45013164152203,72.93126550605355
84399657.8029889,261.2415611021383,100.15544998219075
84399533.49834895,349.1641711897857,136.5374798521461
84399367.39204285,466.65366814567227,185.1542890020598
84399145.32668264,623.7236970058705,250.14962034264684
84398848.53748044,833.6467063132109,337.01581324264674
84398451.93961518,1114.1652543039495,453.0951305037078
84397921.67046641,1489.2302770466474,608.2992565296333
84397213.07005307,1990.4293709115714,815.7005760087477
84396266.19219132,2660.1614193152263,1092.8463893404712
84395000.17540962,3555.617260424198,1463.407329946717
84393308.63949034,4752.034830706889,1958.5256789409677
84391048.03775452,6350.935204777592,2620.22704065924
84388025.72424152,8488.558161846886,3504.9175965992113
84383988.16677037,11344.193943220902,4686.839286376239
84378592.02485247,15160.624486465762,6266.5506610064
84371379.08189145,20261.829485819188,8378.288622682916
84361744.65147713,27075.30148887476,11199.24703392689
84348869.21946694,36180.302660568785,14969.67787244081
84331665.79421052,48344.977359398865,20008.428430012158
84308693.33538987,64587.386951301174,26738.47765877162
84278003.46683057,86283.3936318974,35732.339537486754
84237030.00298914,115244.16252924042,47745.034481560855
84182353.91393504,153881.12347337164,63784.16259155159
84109383.82376508,205428.9971174061,85206.37911747023
84012120.70361343,274109.08769575605,113789.40869078101
83882556.70215417,365546.26976033446,151916.228085442
83710090.24004088,487167.48747184937,202761.4724872023
83480996.44785087,648559.9090041268,270462.84314494336
83177147.4090574,862327.5972604442,360544.19368211215
82775134.43651518,1144638.1559145898,480246.6075701678
82245302.33789869,1515825.028164658,638891.8339365928
81549807.16350478,2001492.6919912372,848719.3445039219
80642431.38429609,2632387.78640329,1125200.0293005605
79467375.90156755,3444765.837673868,1487877.4607585191
77960720.7628208,4478343.915405266,1960954.5217738776
76052542.80826603,5774147.015279298,2573329.376454609
73673339.06279056,7367896.782371414,3358783.3548379717
70765342.88631032,9280454.479406359,4354221.834283273
67289764.93542722,11511645.265016403,5598608.9995563235
63252824.98641022,14019835.624941884,7127358.588647846
58705274.97630129,16724746.204272835,8969998.019425824
53761325.63160716,19496156.451406207,11142537.11698659
48578521.73371164,22177734.33996959,13643763.12631872
43352258.32424163,24594385.16279428,16453375.712964045
38268617.00733832,26600940.74739835,19530461.445263274
33495772.115500685,28085164.130330913,22819082.954168346
29148088.111154877,28999717.721143324,26252213.367701743
25290617.100256227,29347783.391999707,29761618.70774401
21935727.101142976,29184515.123468626,33279776.975388348
19064752.649493188,28584445.61845012,36750820.93205664
16631481.28164431,27641771.41299218,40126766.50536346
14585361.39753261,26441741.25452694,43372916.547940396
12871118.385241728,25065465.22315233,46463435.591605894
11437898.321325056,23579806.94332757,49382313.93534732
10243451.291082157,22035776.490684338,52120791.41823344
9241682.21360104,20486053.35402245,54672283.632376455
8400609.353385387,18960705.298162673,57038704.54845189
7693552.636046891,17481604.86416171,59224861.69979134
7093443.28942772,16071267.611438256,61235308.29913397
6585809.097168283,14732847.744006015,63081362.358825654
6151437.801452666,13477022.430955585,64771558.9675917
5780110.447735038,12303747.852517825,66316160.899747096
5460933.54849065,11213793.636370696,67725292.0151386
5184983.051153422,10206346.739534616,69008689.4093119
4946668.566968401,9277328.531684298,70176022.10134725
4739015.415202169,8424228.504175168,71236775.28062263
4558467.15220396,7642217.443348156,72199334.60444783
4400465.515581375,6927164.547046907,73072389.13737167
4262027.475755493,6274578.609245083,73863413.11499938
4140519.2513232566,5679867.5616786005,74579632.38699809
4033401.3930931487,5138703.931969847,75227913.87493695
3939227.806397499,4646983.457579456,75813807.936023
3855898.776135488,4200468.438452625,76343651.98541185
3781899.449280366,3795350.734361434,76822769.01635815
3716438.072508983,3428339.486494007,77255241.64099696
3658215.455364563,3095780.873689347,77646022.87094605
3606353.6256230758,2794659.5904471264,77999005.98392977
3560267.0270437943,2522401.445011605,78317350.72794455
3519118.472819818,2276054.427213133,78604846.29996702
3482376.39168036,2053353.5257020742,78864289.28261754
3449613.9326182194,1852269.131747488,79098136.13563427
3420276.966929229,1670489.3627645103,79309252.87030624
3393938.7510054302,1506144.8639977428,79499935.5849968
3370266.0097876573,1357618.4834887271,79672134.70672359
3349009.811907665,1223467.9196789237,79827541.46841338
3330041.122935587,1102553.530101937,79967424.54696244
3313073.967424735,993535.6953561741,80093409.53721908
3297799.513591819,895118.2676267258,80207101.41878144
3284082.676231025,806405.529353199,80309530.99441576
3271844.6921222755,726688.9928954144,80401485.51498228
3260939.312709048,655035.8397533123,80484044.04753761
